seconds,pressurizerPressureMPa,primaryCoolantInventoryKg,sgAPrimaryToSecondaryLeakKgPerS,sgASecondaryRadiationMSvPerH,sgALevelPercent
0,15.50000,285000.00,0.000,0.02000,55.000
1,15.49823,285000.00,0.000,0.02000,55.002
2,15.49357,285000.00,0.000,0.02000,55.004
3,15.48648,285000.00,0.000,0.02000,55.006
4,15.47742,285000.00,0.000,0.02000,55.008
5,15.46683,285000.00,0.000,0.02000,55.010
6,15.45512,285000.00,0.000,0.02000,55.011
7,15.44268,285000.00,0.000,0.02000,55.013
8,15.42984,285000.00,0.000,0.02000,55.015
9,15.41692,285000.00,0.000,0.02000,55.017
10,15.40420,285000.00,0.000,0.02000,55.018
11,15.39191,285000.00,0.000,0.02000,55.020
12,15.38027,285000.00,0.000,0.02000,55.022
13,15.36943,285000.00,0.000,0.02000,55.023
14,15.35955,285000.00,0.000,0.02000,55.025
15,15.35074,285000.00,0.000,0.02000,55.026
16,15.34308,285000.00,0.000,0.02000,55.028
17,15.33664,285000.00,0.000,0.02000,55.029
18,15.33146,285000.00,0.000,0.02000,55.031
19,15.32756,285000.00,0.000,0.02000,55.032
20,15.32495,284984.60,154.020,2.17628,55.034
21,15.32338,284830.51,154.143,21.51284,55.037
22,15.32265,284676.30,154.270,37.32823,55.040
23,15.32276,284521.96,154.402,50.26721,55.043
24,15.32372,284367.48,154.539,60.85656,55.045
25,15.32549,284212.92,154.574,69.51940,55.048
26,15.32804,284058.33,154.607,76.60149,55.051
27,15.33135,283903.70,154.646,82.39276,55.054
28,15.33537,283749.03,154.691,87.13004,55.056
29,15.34006,283594.31,154.741,91.00682,55.059
30,15.34537,283439.54,154.795,94.18112,55.062
31,15.35125,283284.71,154.853,96.78203,55.065
32,15.35765,283129.82,154.916,98.91495,55.068
33,15.36453,282974.87,154.982,100.66597,55.070
34,15.37181,282819.85,155.051,102.10534,55.073
35,15.37947,282664.76,155.122,103.29044,55.076
36,15.38744,282509.60,155.196,104.26806,55.079
37,15.39567,282354.36,155.271,105.07641,55.081
38,15.40413,282199.05,155.348,105.74663,55.084
39,15.41276,282043.66,155.425,106.30413,55.087
40,15.42152,281888.19,155.504,106.76962,55.090
41,15.43037,281732.64,155.582,107.15995,55.093
42,15.43928,281577.02,155.660,107.48889,55.095
43,15.44819,281421.32,155.737,107.76759,55.098
44,15.45708,281265.54,155.814,108.00518,55.101
45,15.46592,281109.68,155.889,108.20904,55.104
46,15.47468,280953.75,155.963,108.38518,55.107
47,15.48333,280797.75,156.036,108.53849,55.109
48,15.49184,280641.67,156.107,108.67291,55.112
49,15.50020,280485.53,156.176,108.79167,55.115
50,15.50838,280329.32,156.242,108.89736,55.118
51,15.51636,280173.04,156.306,108.99208,55.121
52,15.52412,280016.70,156.368,109.07753,55.123
53,15.53166,279860.30,156.428,109.15508,55.126
54,15.53896,279703.84,156.484,109.22583,55.129
55,15.54601,279547.32,156.538,109.29070,55.132
56,15.55279,279390.76,156.589,109.35038,55.135
57,15.55930,279234.14,156.637,109.40546,55.137
58,15.56554,279077.48,156.682,109.45640,55.140
59,15.57149,278920.78,156.724,109.50359,55.143
60,15.57716,278764.03,156.763,109.54732,55.146
61,15.58254,278607.25,156.799,109.58785,55.149
62,15.58763,278450.43,156.833,109.62536,55.151
63,15.59243,278293.58,156.863,109.66003,55.154
