systemId,seconds,corePowerMw,sgALevelPercent,turbineElectricMw
unit-1,0,2890.00,55.00,935.00
unit-1,5,2825.02,57.20,653.42
unit-1,10,2784.29,58.51,595.63
unit-1,15,2759.33,59.27,612.98
unit-1,20,2743.44,59.64,650.38
unit-1,25,2732.98,59.76,689.01
unit-1,30,2725.85,59.73,713.55
unit-1,35,2720.87,59.67,719.23
unit-1,40,2717.30,59.56,721.10
unit-1,45,2714.70,59.42,721.62
unit-1,50,2712.77,59.27,721.69
unit-1,55,2711.34,59.11,721.69
unit-1,60,2710.25,58.94,721.63
unit-1,65,2709.44,58.77,721.57
unit-1,70,2708.81,58.60,721.59
unit-1,75,2708.34,58.43,721.54
unit-1,80,2707.98,58.27,721.53
unit-1,85,2707.70,58.11,721.55
unit-1,90,2707.49,57.96,721.51
unit-1,95,2707.33,57.81,721.53
unit-1,100,2707.21,57.67,721.54
unit-1,105,2707.12,57.54,721.50
unit-1,110,2707.04,57.41,721.53
unit-1,115,2706.99,57.29,721.54
unit-1,120,2706.95,57.17,721.51
unit-1,125,2706.92,57.06,721.54
unit-1,130,2706.90,56.96,721.54
unit-1,135,2706.88,56.86,721.51
unit-1,140,2706.87,56.77,721.54
unit-1,145,2706.86,56.68,721.53
unit-1,150,2706.85,56.60,721.51
unit-1,155,2706.85,56.52,721.54
unit-1,160,2706.85,56.45,721.53
unit-1,165,2706.85,56.38,721.51
unit-1,170,2706.84,56.31,721.54
unit-1,175,2706.85,56.25,721.53
unit-1,180,2706.85,56.19,721.51
unit-1,185,2706.85,56.14,721.54
unit-1,190,2706.85,56.09,721.53
unit-1,195,2706.85,56.04,721.51
unit-1,200,2706.85,55.99,721.54
unit-1,205,2706.85,55.95,721.52
unit-1,210,2706.86,55.91,721.51
unit-1,215,2706.86,55.87,721.54
unit-1,220,2706.86,55.83,721.53
unit-1,225,2706.86,55.80,721.50
unit-1,230,2706.87,55.76,721.54
unit-1,235,2706.87,55.73,721.52
unit-1,240,2706.87,55.70,721.50
unit-1,245,2706.87,55.67,721.54
unit-1,250,2706.88,55.65,721.53
unit-1,255,2706.88,55.62,721.51
unit-1,260,2706.88,55.60,721.54
unit-1,265,2706.88,55.58,721.52
unit-1,270,2706.89,55.56,721.51
unit-1,275,2706.89,55.54,721.55
unit-1,280,2706.89,55.52,721.52
unit-1,285,2706.89,55.50,721.51
unit-1,290,2706.90,55.49,721.54
unit-1,295,2706.90,55.48,721.53
unit-1,300,2706.90,55.47,721.51
unit-2,0,2890.00,55.00,935.00
unit-2,5,2825.02,57.20,653.42
unit-2,10,2784.29,58.51,595.63
unit-2,15,2759.33,59.27,612.98
unit-2,20,2743.44,59.64,650.38
unit-2,25,2732.98,59.76,689.01
unit-2,30,2725.85,59.73,713.55
unit-2,35,2720.87,59.67,719.23
unit-2,40,2717.30,59.56,721.10
unit-2,45,2714.70,59.42,721.62
unit-2,50,2712.77,59.27,721.69
unit-2,55,2711.34,59.11,721.69
